Player,Nation,Pos,Age,Minutes played divided by 90,Tkl,TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Dribblers tkl,Dribbles challenged,Dribblers Tkl%,Challenges Lost,Blocks,Sh blocked,Pass blocked,Int,Tkl+Int,Clr,Err,
Erling Haaland,NOR,FW,24,34.1,11,8,2,2,7,3,10,30,7,12,2,10,8,19,24,0,
Joško Gvardiol,CRO,DF,23,33.1,51,35,21,18,12,19,32,59.4,13,44,21,23,37,86,86,8,
Bernardo Silva,POR,"MF,FW",30,30,42,27,15,22,5,24,48,50,24,30,8,22,19,61,21,3,
Rico Lewis,ENG,"DF,MF",20,27.7,36,29,16,13,7,19,28,67.9,9,27,5,22,18,51,40,3,
Manuel Akanji,SUI,DF,29,27.6,20,14,10,7,3,11,19,57.9,8,22,13,9,11,30,70,3,
Phil Foden,ENG,"MF,FW",24,25,13,6,4,5,4,7,22,31.8,15,12,1,11,9,22,12,1,
Ederson,BRA,GK,31,25,0,0,0,0,0,0,3,0,3,0,0,0,1,1,13,4,
İlkay Gündoğan,GER,MF,34,23.4,19,13,4,11,4,10,27,37,17,11,0,11,16,34,20,0,
Sávio,BRA,"FW,MF",20,22.5,23,16,4,10,9,7,19,36.8,12,12,2,10,7,30,5,2,
Mateo Kovačić,CRO,MF,30,22.2,51,31,14,30,7,24,54,44.4,30,17,0,17,20,67,18,1,
Matheus Nunes,POR,"MF,DF",26,19.1,43,32,16,17,10,27,41,65.9,14,16,4,12,17,59,26,0,
Rúben Dias,POR,DF,27,19.1,13,8,3,9,1,7,11,63.6,4,12,11,1,17,30,42,1,
Kevin De Bruyne,BEL,MF,33,15.9,15,9,6,4,5,6,22,27.3,16,10,1,9,5,20,10,1,
Stefan Ortega,GER,GK,32,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,
Jack Grealish,ENG,"FW,MF",29,13.7,12,7,4,4,4,3,7,42.9,4,10,2,8,3,15,6,1,
Jeremy Doku,BEL,FW,22,13.1,23,18,8,8,7,6,10,60,4,9,1,8,2,25,3,0,
Kyle Walker,ENG,DF,34,12.9,19,11,8,7,4,14,26,53.8,12,13,4,9,3,22,13,1,
John Stones,ENG,"DF,MF",30,12.5,11,6,5,2,4,8,9,88.9,1,6,4,2,5,16,26,1,
Nathan Aké,NED,DF,29,10.2,10,8,8,2,0,4,6,66.7,2,10,5,5,4,14,26,1,
James Mcatee,ENG,"MF,FW",22,6.9,7,11,0,5,2,1,4,25,3,6,0,6,2,8,0,0,
Nico O’Reilly,ENG,FW,19,4.6,2,10,0,2,0,0,0,,0,0,0,0,2,2,1,0,
Omar Marmoush,EGY,FW,26,3.5,3,3,2,0,1,3,5,60,2,4,0,4,2,5,1,0,
Jahmai Simpson-Pusey,ENG,DF,19,3.5,2,1,2,0,0,1,2,50,1,3,2,1,2,4,4,0,
Abdukodir Khusanov,UZB,DF,20,2.1,1,1,0,1,0,0,0,,0,1,1,0,1,1,6,1,
Rodri,ESP,MF,28,1.7,5,2,1,2,2,1,1,100,0,2,0,2,1,6,1,0,
Divin Mubama,ENG,FW,20,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
Nicolás González,ESP,MF,23,1.2,3,0,1,2,0,1,1,100,0,2,0,2,1,4,0,0,
Oscar Bobb,NOR,FW,21,1,,0,,,,,,,,,,,0,0,,,
Kaden Braithwaite,ENG,DF,17,0.8,,2,,,,,,,,,,,1,0,,,
Jacob Wright,ENG,MF,19,0.5,,0,,,,,,,,,,,0,0,,,
Vitor Reis,BRA,DF,19,0.5,,1,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,