Player,Nation,Pos,Age,Minutes played divided by 90,Passes attempted,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Inswinging ConerKicks,Outswinging Conerkicks,Straight Conerkicks,Passes completed,Passes offside,Passes blocked,
Erling Haaland,NOR,FW,24,34.1,388,368,18,0,1,0,4,1,0,0,0,0,260,2,10,
Joško Gvardiol,CRO,DF,23,33.1,2346,2168,173,34,2,3,25,138,0,0,0,0,2136,5,27,
Bernardo Silva,POR,"MF,FW",30,30,1623,1505,116,42,4,4,69,43,14,2,0,0,1403,2,35,
Rico Lewis,ENG,"DF,MF",20,27.7,1486,1344,142,25,7,0,5,117,0,0,0,0,1373,0,27,
Manuel Akanji,SUI,DF,29,27.6,2127,2077,49,24,4,12,11,15,0,0,0,0,2003,1,8,
Phil Foden,ENG,"MF,FW",24,25,1182,1082,97,21,7,3,110,4,58,40,11,0,1005,3,25,
Ederson,BRA,GK,31,25,833,729,104,32,0,2,0,0,0,0,0,0,721,0,1,
İlkay Gündoğan,GER,MF,34,23.4,1610,1511,95,28,8,4,61,2,52,30,10,0,1452,4,20,
Sávio,BRA,"FW,MF",20,22.5,856,820,36,3,6,6,111,10,22,11,5,0,688,0,37,
Mateo Kovačić,CRO,MF,30,22.2,1589,1556,30,28,9,4,0,0,0,0,0,0,1484,3,11,
Matheus Nunes,POR,"MF,DF",26,19.1,994,916,77,4,4,4,53,63,9,7,0,0,857,1,21,
Rúben Dias,POR,DF,27,19.1,1561,1515,44,29,0,5,2,3,0,0,0,0,1470,2,11,
Kevin De Bruyne,BEL,MF,33,15.9,1038,892,138,21,9,8,123,17,80,24,15,2,785,8,35,
Stefan Ortega,GER,GK,32,14,379,311,67,17,0,1,0,0,0,0,0,0,323,1,1,
Jack Grealish,ENG,"FW,MF",29,13.7,536,510,26,6,2,0,29,9,11,5,0,0,468,0,15,
Jeremy Doku,BEL,FW,22,13.1,519,514,2,0,6,2,48,0,2,0,0,0,413,3,27,
Kyle Walker,ENG,DF,34,12.9,944,834,110,19,2,8,16,91,0,0,0,0,827,0,9,
John Stones,ENG,"DF,MF",30,12.5,774,755,18,10,0,4,1,0,0,0,0,0,726,1,3,
Nathan Aké,NED,DF,29,10.2,676,644,30,14,0,0,3,10,0,0,0,0,636,2,5,
James Mcatee,ENG,"MF,FW",22,6.9,87,86,1,0,3,0,7,0,1,1,0,0,73,0,2,
Nico O’Reilly,ENG,FW,19,4.6,20,18,2,1,0,0,4,1,0,0,0,0,19,0,0,
Omar Marmoush,EGY,FW,26,3.5,64,56,8,2,1,0,16,0,6,5,1,0,52,0,1,
Jahmai Simpson-Pusey,ENG,DF,19,3.5,187,179,8,6,0,1,1,1,0,0,0,0,176,0,1,
Abdukodir Khusanov,UZB,DF,20,2.1,115,114,1,0,0,0,0,0,0,0,0,0,104,0,1,
Rodri,ESP,MF,28,1.7,150,148,2,2,0,0,1,0,0,0,0,0,139,0,0,
Divin Mubama,ENG,FW,20,1.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,
Nicolás González,ESP,MF,23,1.2,103,99,4,4,0,0,0,0,0,0,0,0,100,0,1,
Oscar Bobb,NOR,FW,21,1,,,,,,,4,,,,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,,,,,,,0,,,,,,,,,
Jacob Wright,ENG,MF,19,0.5,,,,,,,5,,,,,,,,,
Vitor Reis,BRA,DF,19,0.5,,,,,,,0,,,,,,,,,