Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Minutes played divided by 90,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,
Erling Haaland,NOR,FW,24,35,35,"3,069",34.1,27,3,30,24,3,5,2,0,27.4,23.5,3.1,26.5,25,25,130,0.79,0.09,0.88,0.7,0.79,0.83,0.09,0.92,0.71,0.8,
Joško Gvardiol,CRO,DF,23,36,32,"2,981",33.1,5,1,6,5,0,0,1,0,4.4,4.1,2.4,6.5,78,231,106,0.15,0.03,0.18,0.15,0.18,0.14,0.08,0.22,0.13,0.21,
Bernardo Silva,POR,"MF,FW",30,34,29,"2,702",30,3,4,7,3,0,0,7,0,3.8,3.8,4.6,8.4,105,135,220,0.1,0.13,0.23,0.1,0.23,0.13,0.16,0.29,0.13,0.29,
Rico Lewis,ENG,"DF,MF",20,33,27,"2,492",27.7,1,5,6,1,0,0,5,1,1.7,1.7,2.8,4.5,54,146,90,0.04,0.18,0.22,0.04,0.22,0.07,0.12,0.19,0.07,0.19,
Manuel Akanji,SUI,DF,29,30,29,"2,486",27.6,0,1,1,0,0,0,3,0,1,1,1,2,54,204,8,0,0.04,0.04,0,0.04,0.04,0.04,0.07,0.04,0.07,
Phil Foden,ENG,"MF,FW",24,32,24,"2,252",25,10,4,14,10,0,0,2,0,6.2,6.2,5.6,11.8,61,127,172,0.4,0.16,0.56,0.4,0.56,0.27,0.25,0.52,0.27,0.52,
Ederson,BRA,GK,31,25,25,"2,250",25,0,3,3,0,0,0,3,0,0,0,0.8,0.8,0,1,0,0,0.12,0.12,0,0.12,0,0.04,0.04,0,0.04,
İlkay Gündoğan,GER,MF,34,34,24,"2,102",23.4,2,2,4,2,0,0,1,0,3.3,3.3,2.5,5.8,54,140,86,0.09,0.09,0.17,0.09,0.17,0.16,0.12,0.28,0.16,0.28,
Sávio,BRA,"FW,MF",20,33,24,"2,025",22.5,2,9,11,2,0,0,3,0,4.9,4.9,6.4,11.3,131,67,252,0.09,0.4,0.49,0.09,0.49,0.25,0.33,0.58,0.25,0.58,
Mateo Kovačić,CRO,MF,30,29,22,"1,995",22.2,5,1,6,5,0,0,6,0,1.6,1.6,3.5,5.1,53,137,19,0.23,0.05,0.27,0.23,0.27,0.08,0.17,0.25,0.08,0.25,
Matheus Nunes,POR,"MF,DF",26,28,19,"1,723",19.1,3,8,11,2,1,1,4,0,1.5,0.7,4.9,5.6,70,72,190,0.16,0.42,0.57,0.1,0.52,0.09,0.31,0.4,0.04,0.35,
Rúben Dias,POR,DF,27,23,20,"1,720",19.1,0,0,0,0,0,0,5,0,1.1,1.1,0.3,1.3,19,92,6,0,0,0,0,0,0.06,0.01,0.08,0.06,0.08,
Kevin De Bruyne,BEL,MF,33,26,16,"1,428",15.9,3,6,9,3,0,0,2,0,3.3,3.3,8.1,11.3,49,139,141,0.19,0.38,0.57,0.19,0.57,0.21,0.52,0.72,0.21,0.72,
Stefan Ortega,GER,GK,32,14,14,"1,260",14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jack Grealish,ENG,"FW,MF",29,24,13,"1,231",13.7,2,5,7,1,1,1,4,0,1.5,1.5,2.2,3.7,89,62,147,0.15,0.37,0.51,0.07,0.44,0.14,0.2,0.35,0.14,0.35,
Jeremy Doku,BEL,FW,22,23,14,"1,177",13.1,6,7,13,5,1,1,0,0,1,1,3,4,132,43,199,0.46,0.54,0.99,0.38,0.92,0.09,0.27,0.36,0.09,0.36,
Kyle Walker,ENG,DF,34,18,11,"1,163",12.9,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,13,75,13,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,
John Stones,ENG,"DF,MF",30,19,12,"1,129",12.5,3,2,5,3,0,0,2,0,1.1,1.1,0.5,1.6,20,52,5,0.24,0.16,0.4,0.24,0.4,0.11,0.05,0.16,0.11,0.16,
Nathan Aké,NED,DF,29,15,12,922,10.2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,12,50,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06,
James Mcatee,ENG,"MF,FW",22,17,5,620,6.9,6,0,6,6,0,0,2,0,1.7,1.7,0.1,1.7,8,11,22,0.87,0,0.87,0.87,0.87,0.75,0.03,0.78,0.75,0.78,
Nico O’Reilly,ENG,FW,19,8,5,418,4.6,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.22,0,0.22,0.22,0.22,0.07,0,0.07,0.07,0.07,
Omar Marmoush,EGY,FW,26,5,4,316,3.5,3,0,3,3,0,0,0,0,0.9,0.9,0.5,1.4,6,9,15,0.85,0,0.85,0.85,0.85,0.35,0.22,0.56,0.35,0.56,
Jahmai Simpson-Pusey,ENG,DF,19,6,3,315,3.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,11,0,0,0,0,0,0,0,0.02,0.02,0,0.02,
Abdukodir Khusanov,UZB,DF,20,3,2,188,2.1,1,0,1,1,0,0,1,0,0,0,0,0,0,6,0,0.48,0,0.48,0.48,0.48,0.01,0,0.01,0.01,0.01,
Rodri,ESP,MF,28,3,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,11,2,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,
Divin Mubama,ENG,FW,20,2,1,118,1.3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0.76,0.76,0.76,0.12,0,0.12,0.12,0.12,
Nicolás González,ESP,MF,23,2,2,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,
Oscar Bobb,NOR,FW,21,1,1,89,1,0,1,1,0,0,0,0,0,,,,,,,,0,1.01,1.01,0,1.01,,,,,,
Kaden Braithwaite,ENG,DF,17,1,1,75,0.8,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,
Jacob Wright,ENG,MF,19,2,0,46,0.5,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,
Vitor Reis,BRA,DF,19,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,
Max Hudson,WAL,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Kaboré,BFA,"DF,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Alleyne,ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorsten Brits,ENG,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalvin Phillips,ENG,"DF,MF",29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Carson,ENG,GK,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Alfa-Ruprecht,GER,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Wilson-Esbrand,ENG,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,